Accuracy,Precision (Weighted),Precision (Macro),Recall (Weighted),Recall (Macro),F1 (Weighted),F1 (Macro),Model,Display Name,Category,Size_MB,Load_Time_s,Latency_ms,FPS,RAM_MB,Temp_Start_C,Temp_End_C,Temp_Rise_C,Runtime_s,Estimated_Energy_J,Size_MB_Coral,Load_Time_s_Coral,Latency_ms_Coral,FPS_Coral,RAM_MB_Coral,Runtime_s_Coral,Estimated_Energy_J_Coral,Overall Score,Rank
0.5368024649092776,0.5287026669704691,0.5471775856166345,0.5368024649092776,0.5505146705146705,0.5236185811256714,0.536858572124369,fusion_efficientnet_transformer,EfficientNet + Transformer,Fusion,19.2,0.821,169.82,5.89,581.89,53.8,57.6,3.8,342.77,2399.39,19.2,9.66,706.14,1.42,332.54,1425.36,9977.52,0.5325457285647948,1
0.5279014036288943,0.5232994967212834,0.5580215493933979,0.5279014036288943,0.546950456950457,0.5191700979632676,0.5429046039749448,fusion_vit_mlp,ViT + MLP,Fusion,21.44,5.709,929.46,1.08,578.12,53.2,53.8,0.6,1862.05,13034.38,21.44,1.74,230.62,4.34,327.08,474.29,3320.03,0.5252347611142467,2
0.5265320095857583,0.5116014797251747,0.5134657088507102,0.5265320095857583,0.5311014911014912,0.5106742362823026,0.5070686493122533,fusion_vit_transformer,ViT + Transformer,Fusion,23.42,0.77,928.0,1.08,568.14,46.1,53.8,7.7,1859.07,13013.52,23.42,1.67,236.96,4.22,312.78,488.86,3422.02,0.5203743489529504,3
0.5244779185210544,0.5178218181535811,0.5353851464411453,0.5244779185210544,0.5255218855218855,0.5096390376638108,0.5155712388665735,fusion_mobilenet_transformer,MobileNet + Transformer,Fusion,9.48,0.639,46.06,21.71,580.25,56.5,57.6,1.1,95.2,666.43,9.48,0.69,183.4,5.45,338.68,379.82,2658.74,0.5201789222761111,4
0.5166039027730229,0.4970305435176697,0.4967328169376905,0.5166039027730229,0.5192303992303992,0.4982783530978485,0.4926690909757619,tabular_transformer,Tabular Transformer,Tabular,,,,,,,,,,,,,,,,,,0.5090241209869174,5
0.5042793563847997,0.4949788818018953,0.5063227461402124,0.5042793563847997,0.5230928330928332,0.4913171492830197,0.5004127848640622,tabular_mlp,Tabular MLP,Tabular,,,,,,,,,,,,,,,,,,0.49982682004786283,6
0.4827114002054091,0.4736094726710883,0.4902089758495108,0.4827114002054091,0.4786387686387686,0.4717842824308602,0.4746576550541241,fusion_mobilenet_mlp,MobileNet + MLP,Fusion,6.42,0.505,44.73,22.36,580.25,57.6,59.3,1.7,92.56,647.9,6.42,0.55,175.66,5.69,338.68,364.29,2550.03,0.47870559114363515,7
0.4806573091407052,0.4694191554797995,0.4946782300345416,0.4806573091407052,0.4747282347282347,0.4690656284717545,0.475944342438475,fusion_efficientnet_mlp,EfficientNet + MLP,Fusion,16.14,5.697,168.79,5.92,576.84,57.6,57.1,-0.5,340.71,2384.96,16.14,1.2,699.13,1.43,338.47,1411.2,9878.4,0.47609134227473393,8
0.4180075316672372,0.4125527469711795,0.3931331761242942,0.4180075316672372,0.3994901394901395,0.4133819845494301,0.3941617842929742,efficientnet,EfficientNet-B0,Image,,,,,,,,,,,,,,,,,,0.41599146530446424,9
0.4111605614515576,0.3978135108792576,0.377108991017123,0.4111605614515576,0.3931697931697931,0.4006683200883946,0.3794326370515644,vit,Vision Transformer,Image,,,,,,,,,,,,,,,,,,0.406392703064465,10
0.4008901061280383,0.3968387227645468,0.3880823381714713,0.4008901061280383,0.3711014911014911,0.393126382720345,0.3723588985040547,mobilenet,MobileNetV3,Image,,,,,,,,,,,,,,,,,,0.3985270847738014,11
